,text,start,end
116,"แง่ของกลุ่ม 7,000 โปรไกโอติกนะครับ",399.5599375,402.0499375
1, ก็ผิด,403.0699375,404.33
117,เนื่องจากว่าเขาจะมีผู้ใช้กันอยู่อย่างแค่ไหน,405.4799375,409.11
118,สิ่งที่เราหล่อเห็นไหมครับว่าผมมี,409.6699375,412.38
119,ตัวสีแดงเนี่ย คือที่ว่า ระวังสินค้าปอมแล้วล่อเล่นไป,412.75,416.08
120,สิ่งที่กระทบกับเราค่อนข้างมากก็คือสินค้าปอมแล้วก็โลกเรียนแปลก,416.46,420.2599375
121,แล้วโปรแกรมเนี่ยเราก็ผมเองก็มาตั้งแต่นั้น,421.06,423.3
122,ว่าเวลาคุณโฟกัสกับปัจจุบันในท้องถาม,423.62,426.549
123,มีค่อนข้างเยอะนะครับ เราเป็นรายแรกก็จริงปัจจุบัน,426.549,429.928
124,เหล่านี้ก็น่าจะมีเป็นร้อยผลิตภัณฑ์เนี่ย ก็เพราะ,429.928,432.857
125,ว่าเราผมเองก็จะแนะนำว่าควรจะใช้ตัวที่,432.857,436.011
126,ค่อนข้างการแพทย์ไม่ว่าจะแพทย์เป็น,436.34,438.6
127,ศักดิ์สกรเนี่ยเราใช้นะครับเชื่อถือ,438.6,440.86
128,เราก็น่าจะเป็นแบรนด์เดียวที่,441.61,443.705
129,ขายอยู่ในโรงพยาบาลนะครับ,443.705,445.80000000000007
130,เพราะเครดิตสันนำนะครับ เครดิตสโลวัตต์ต่างๆ นะครับ,446.2899375,449.1699375
131,อันนี้ก็จะเป็นกลุ่ม,452.33,453.33
132,ที่เราสัมภาษณ์นะครับ,453.62,454.78
133,ก็จะส่วนใหญ่เราจะพัฒนาอยู่บนทหารของโปรเบติกนะ,456.05,459.215
134,ครับไม่ว่าจะยาสิทธิ์บนโปรเบติกหรือหลังหน้าโปรเบติก,459.215,462.38000000000005
135,แล้วก็มูสสำหรับล้างซึ่งซ่อนเลนนะครับ,462.86,466.12
136,ก็เป็นแผ่นด้ายแบบที่ชื่อว่า TSO มูส ยูมูส,466.45,469.7
137,แล้วก็ YouTube Test นะครับ,470.26,471.76
138,วันนี้ก็อยากเสียวัน แต่วัน,473.14,475.18
139,เราครบ 60 เป็นแปลงเดียวที่เรา,475.18,477.22
140,อันนี้ก็ต้องได้รู้ว่าจะเอายอ,478.02,480.655
141,นะครับว่าครบจบในหลอดเดียวนะครับ,480.655,483.29
142,สิ่งของโลกแข่งสืบบูรณาการแปดประโยชน์นะครับ,483.57,486.37
143,ก็ได้ทุกๆ ด้านนะครับ ไม่ว่า,486.99,489.752
144,จะฟันขาว กลิ่นปากนะครับ รสชาติพัก,489.752,492.82
145,รสชาติผิดปูเนื้อหักอะไรต่างๆ,493.17,495.33
146,จริงๆแล้วในแง่ของการวิจัยเนี่ยใน,495.7,498.27
147,แง่ของ Paper Application ต่างๆเนี่ย,498.27,500.84
148,แนวโน้มนะครับถ้าเราถามทันตแพทย์เนี่ยก็จะมี,501.41,504.235
149,บทบาทกับการใช้โปรเจกต์เนี่ยเป็นระยะสิบวัน,504.235,507.06
150,มักขึ้นเรื่อยๆ นะครับ,507.34,508.54
151,แล้วก็อยากจะเรียนว่าจริงๆแล้วสูตรของเราเนี่ยเป็นสูตรที่ดีๆเอา,510.7299375,514.12
152,พอนะครับ เราใส่สารฉับฟันไม่มาก รสชาติอ่อนโยง,514.6699375,517.6309375
153,ก็สร้างสมดุลของแบคทีเรียนะครับในช่องปลั๊ก,517.6309375,520.3799375
154,"จริงๆแล้วแปรเทนีในช่องปากมีถึง 50,000 ล้านตัวนะครับ",521.14,524.94
155,บางครั้งก็จะเช่าคนให้ว่า เอ่อ จุดครั้ง,525.7,527.9200000000001
156,นู้นเนี่ยแหละเปลี่ยนทั้งเจ็ดสิบล้านตัวนะครับ,527.9200000000001,530.1400000000001
157,เพราะฉะนั้นก็ควรจะใช้ยาเสียความที่จะ,530.45,532.505
158,สร้างสมดุลของแบคทีเรียในช่องปากนะครับ,532.505,534.56
159,เพราะว่าช่องปากที่ดินเนี่ยเป็นพื้นฐานนะครับ ในการที่,534.99,538.15
160,จะมีชีวิตที่ยิ่งยาวแล้วก็ชะลอเอาไว้นะครับ,538.15,541.31
161,นอกจากต่อมไส้เลย,541.97,543.3
162,แล้วปากก็จะเป็นต้นของการรับประทานอาหาร,543.7699375,547.01
163,ก็ตลอดทางเดินทางหาที่ดีเนี่ย,547.62,549.7
164,ก็จะทำให้สุขภาพดีนะครับ,549.7,551.7800000000001
165,แล้วก็ตัวนี้ที่เราคิดว่าเป็นนวัตกรรมนะครับซึ่งอยู่ภายใต้,553.31,556.41
166,ประชาชนเชวีระหว่างอินเตอร์ฟอร์มาร์กับไทยยูเนียนนะครับ,556.41,559.51
167,ไทยอินเตอร์ฟาร์ม่าถึงหุ้น 51% ไทยเนี่ยถึง,559.95,562.609
168,หุ้น 49% นะครับชื่ออินเตอร์ฟาร์ม่า 4 ติดต้า,562.609,565.49
169,อันนี้เราก็หลังจากเรา เอ่อ,565.99,568.0600000000001
170, ลอง ถ้าลองจราจรต่างต่างก็,568.0600000000001,570.1300000000001
171,ผมคิดว่าน่าจะถึงเวลาที่เราจะ,570.5299375,572.9399374999999
172,เริ่มทำการที่จะให้คนรู้จักแค่ไหน,572.9399374999999,575.3499374999999
173,เพราะมี DSA ถึง 600 อเมริกาหมด,575.99,578.24
174,เราก็คิดว่าตัวนี้จริงๆแล้วเป็นจังหวัดประจำมาก,578.88,581.899
175,นะครับผมเองก็ทานทุกวัน ให้คุณแม่ทาน ให้ลูกทานเนี่ย,581.899,585.12
176,เขาพบว่าจริงๆแล้ว,585.7,586.98
177,คือพันธมณ์ในท้องตลาดไม่มี DHA ได้,587.92,590.8249999999999
178,ถึงไม่เกินแค่ร้อยกว่าบริกรรมนะครับ,590.8249999999999,593.7299999999999
179,600 มีกรัมเนี่ยจะเทียบเท่ากับการป่าถึง เราจะ,594.22,597.099
180,เก็บ DHA 600 มีกรัมต้องผ่านป่าถึง 20 กิโลนะครับ,597.099,600.2
181,เหลืองก็มาด้วย Position 20 กิโลนะครับ,600.66,603.06
182,แล้วก็อย่างที่เรียนคำว่าโรงงานยุทธยาเนี่ย ตอนนี้,603.72,606.0350000000001
183,เราก็ทำเนี่ยปีที่แล้วนะฮะ สองพันยี่สิบสอง,606.0350000000001,608.3500000000001
184,แผนที่เราจะกวาดให้เป็น EU Standard นะครับ เป็น,608.82,611.4730000000001
185, Standard ระดับโลกสามารถจะฝึกออกไปทั่วโลกได้,611.4730000000001,614.33
186,เรากำลังทำยาตานะครับซึ่งเป็นไทยหนึ่งของโลกนะครับ,614.91,617.82
187,เพราะปัจจุบันเดียวกันจะเป็นโรคตากันค่อนข้าง,618.31,620.5559999999999
188,มากนะครับไม่ว่าเด็กที่จะเป็นสายตาสั้น,620.5559999999999,622.6299999999999
189,คนแก่มากขึ้นก็จะมีสายตายามาก,622.92,625.235
190,ขึ้นมีท่อประจกมากขึ้นท่อดินมากขึ้น,625.235,627.5500000000001
191,อักเสบมากขึ้นนะครับ,627.82,629.29
192,แล้วก็นี่ครับก็คิดว่าน่าจะล้อเสียได้,630.09,632.615
193,นะครับในไตรมาส 4 กับปี พ.ศ. 2526 นะครับ,632.615,635.35
194,เพราะว่ามันจะมีกระบวนการผลิตเทคโนโลยี,636.03,638.494
195, ทานเฟิร์น ขึ้นทะเบียนอะไรต่างๆ,638.494,640.2
196,แล้วก็เราก็มีแผนนะครับที่เราก็จะทำ,641.56,644.915
197,ไปสู่ยาสมุนไพรแบบโมเดิร์นนะครับแบบสมัยใหม่,644.915,648.27
198,แล้วก็มีแผนที่จะทำยาหม่อม ยานม,648.96,651.697
199, เอ่อ ลูกอมสมุทรภัยนะครับ เนื่องจากว่าโรง,651.697,654.434
200,งานสมุทรประการเราได้รับอนุญาตในการผลิต,654.434,657.42
201,เป็นทัศนมนต์ภัยแล้วนะครับ,657.92,660.47
202,สมุทรไทยก็เป็นเพียงหนึ่งของโลกนะครับ,660.91,663.14
203,ผมคิดว่า ลูกอมเราก็เป็นลูกอมที่,663.84,666.585
204,มีแตกต่างกับบรรเทาอาจารย์ใครได้นะครับ,666.585,669.58
205,มีกายชายขาวที่ป้องกันการติดเชื้อ หรือการอักเสบได้นะครับ,670.06,673.84
206,แล้วก็ในแง่ของสัตว์นะครับ เป็นความสุขภาพ,675.64,678.03
207,แล้วก็ควบวงจรเลยครับ ตาม 3 เหรียญเลยครับ,678.03,680.42
208,ไม่ว่าเราจะเป็นยานะครับ,680.93,683.0749999999999
209,ถุงยาสำหรับน้องหมาน้องแมว,683.0749999999999,685.2199999999999
210,อ๋อ โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค โอเค,686.02,688.65
211,สำเนาะแล้วแมวนะครับ,689.14,690.78
212,ไม่ว่าจะเป็นแชมพูนะครับ,691.38,693.25
213,เกียรติสมัยเวชสำคัญของน้องหมาน้องแมว,693.64,695.764
214,เนี่ยแล้วก็แชมพูน้องก้าวดับหนึ่งนะครับ,695.764,698.1
215,แล้วก็ไม่ว่าจะเป็นอาหารสุขภาพนะครับของเราเป็นเว็บโทรดัสที่,698.9,702.84
216,"ทั้ง P-Civative, Free-Gift, Gluten-Free, Grain-",703.27,706.6899999999999
217,"Free ที่ยังใส่ P-Bertig, Omega-3 นะครับ",706.6899999999999,710.1099999999999
218,ปัจจุบันเราก็ส่งออกไป 5 ประเทศนะครับ,710.53,713.35
219,แล้วก็ยังขึ้นเรียนอยู่อีกสองประเทศนะครับก็น่าจะ,713.89,716.98
220,ผลออกเลย ภายในซึ่งปีนี้อาจจะผลออกได้ทั้งหมด 7 ประเภทนะครับ,717.5,720.88
221,เดือนหน้าเราก็จะมีการไปออกบูที่,721.37,723.503
222,ยุโรป เราก็จะเปิดตลาดที่ยุโรปด้วยครับ,723.503,725.83
223,นะครับ อันนี้ก็อยู่ภายใต้บริษัทรวมทุนระหว่าง,727.58,730.41
224,Interformer แล้วก็,730.73,732.23
225,เอ่อ ออมเกณฑ์เอเชียนนะครับเอเชียนอะไรอ่ะ อันสุดนะครับ,732.88,736.38
226,เราถือหุ้นหกสิบเปอร์เซ็นต์นะครับห้องเย็นเอเชียร์เอ่อ,736.7,739.152
227,อาชีพอะไรอันนั้นถือหุ้นอยู่สี่สิบเปอร์เซ็นต์นะครับ,739.152,741.7800000000001
228,นี่ก็คือคำว่าเป็นทางสุขภาพแบบพกวงจร,742.64,745.2959999999999
229,แล้วก็คำว่าต้นน้ำยันไปน้ำเนี่ย,745.2959999999999,747.3389999999999
230,ปัจจุบันเราก็มีโรงงานอยู่ 2 โรง,747.72,749.855
231,งานนะครับ โดยเฉพาะโรงงานที่วิทยาเนี่ย,749.855,751.99
232,จะมีไทยหลับแผนที่,752.28,753.32
233,ในการวิจัยและก็พัฒนา,753.62,755.17
234,หลังจากนั้นก็จะมีการผลิตนะครับ,755.65,757.71
235,กิน modern format เราก็มีการพิจารณาพัฒนานะครับ พิจารณาเอาไปทำ,758.25,762.04
236,ยาทั่วไปนะครับ อาหารเสริม ไม่,762.33,764.433
237,ใช่น้ำมันบาด แล้วก็ไม่ใช่สำอาง,764.433,766.77
238,หลังจากนั้นเราก็จะผลิตนะครับปลาย,767.45,769.6070000000001
239,น้ำปัจจุบันเราก็มีร้านขยะนะครับ,769.6070000000001,771.9800000000001
240,แล้วก็มีโรงพยาบาลอยู่ 1 แห่งที่เราถึงรูป 50% นะครับ,772.31,775.72
241,นั่นแหละเราก็ขยายตัวอยู่เรื่อยๆนะครับ,776.36,778.52
242,พูดถึงกรณีโรงงานยุทยาปัจจุบัน,779.14,781.433
243, แล้วก็จัดซื้อพอประสิทธิได้,781.433,783.309
244,มากขึ้นเรื่อยๆ จากการที่เราจะ,783.6,785.6650000000001
245,ไปคุยหาพาราวน์เลอร์ชิปเพิ่มนะครับ,785.6650000000001,787.96
246,ซึ่งก็ยังเป็น on-going process อยู่เรื่อย ๆ นะครับ,788.87,792.21
247,เพราะว่านักลงทุนหลายท่านก็มีได้ไปถึง,792.96,795.075
248,นะครับ ในแง่ของปลายน้ำเนี่ยปัจจุบันเนี่ย,795.075,797.19
249,นักฟอร์มเมอร์ซีนเราก็มีการขยายเพิ่มอีก 7,797.9,800.5699999999999
250, สาขาในปีนี้ก็เป็น 27 สาขานะครับ,800.5699999999999,803.2399999999999
251,แล้วก็คิดว่าถึงสิ้นปีนะครับ เอาจริงๆแล้วเราสามสิบห้า,803.99,807.49
252,สาขาแต่น่าจะจบที่ประมาณสามสิบถึงสามสิบเอ็ดสาขา,807.49,810.99
253,เพราะว่าหลาย ๆ ที่เนี่ยก็จะอาจจะแลนด์,811.64,814.405
254,หลอดยังทำไม่เสร็จยังไม่ได้ส่งพื้นที่,814.405,817.17
255,แล้วก็เรื่องของการที่จะต้องได้รับ,817.74,820.416
256,ไป หรือยาทยา ก็ต้องใช้เวลาด้วยครับ,820.416,823.36
257,ในการยื่นของออยอย ในการเจ็บเกลือบหลายอย่าง,823.81,826.31
258,ครับ,826.94,827.54
259,อ๋อ,829.35,830.3
260,อันนี้ก็จะเป็นสาขาใหม่ๆนะครับที่เราจะ,831.12,834.08
261,เปิด ที่ต้องบอกนะครับที่เพิ่งเปิดไปนะครับเมื่อๆ,834.08,837.0400000000001
262,เมื่อวันทุกข์ ก็คือ,837.49,839.331
263,เมื่อวันที่ 27 จันทร์ยา,839.331,841.54
264,แต่ตอนนี้ก็เป็นสาขาที่น่าจะ 20 คน,842.1,845.11
265,นะครับ แล้วเป็นสัปดาห์ที่ 28 นะครับ,845.38,847.97
266,แล้วก็ยังมีสาขาใหม่ที่เราจะเกิดร่วมกับ,849.45,852.69
267,ทาง OR นะครับ หรือสถานีน้ำมันฟองตะท้อเนี่ย,852.69,855.9300000000001
268,ก็กำลังจะเปิดอีก 2 สังขารนะครับ ใน,856.55,859.155
269,เดือนหน้า น่าจะเปิดเดือนหน้าในตุลาคนะครับ,859.155,861.76
270,ก็จะเป็นสัปดาห์แฟล็กซิปของพระนครนะครับ,862.32,865.0899375
271,อยู่ที่ บทยุความดี 62 นะครับ,865.61,869.4599375
272,อันนี้จะเป็นศาสตร์ข่าวต้นแบบของศาสตร์อันนี้เรียกว่า Portofor,870.02,873.3
273,ก็เหมือนลักษณะคล้ายๆ ความสำเร็จที่มองนะครับ,873.71,875.82
274,อีกสาขานึงจะอยู่ที่เหล่าแทน,876.21,878.45
275,ก็แผนที่จะเปิดร่วมกันก็จะ,879.62,881.543
276,อยู่ประมาณ 12 ฝากขายต่อปีนะครับ,881.543,883.68
277,เราก็กำลังจะเสร็จ มีใช้ได้,884.52,887.24
278,ความล้มลือในรูปแบบอื่นๆเพิ่มเติมด้วยนะครับ,887.53,890.71
279,แล้วก็โรงพยาบาลนครทัศน์นะครับ นครทัศน์ที่นครศรีธรรมดา,892.19,895.464
280,ปัจจุบันก็กำลังอยู่รีโนเวทนะ,895.464,897.715
281,ครับ ถ้าท่านได้ลงไปที่นครศรีธรรมดาจะเห็นว่า,897.715,900.58
282,กำลังรีโนเวทนะครับในนี้ก็จะ,900.93,902.97
283,เป็นภาพว่าหลังจากเรารีโนเวทเสร็จเนี่ย,902.97,905.01
284,ก็จะเป็นโรงพยาบาลระดับมาตรฐานสากล,905.45,907.823
285,นะครับเราคิดว่าเรามีเป้าหมายทั้ง,907.823,909.8
286,ผู้ป่วยชาวไทยแล้วก็ต่างชาตินะครับ ไม่ว่าจะมาจากกระบี่ จาก,910.41,914.25
287,อะไรต่างๆ รวมทั้งนครศรีธรรมราชเองก็เป็นจังหวัดใหญ่นะครับ,914.25,918.09
288,เอกสารก่อนค่อนข้างมากนะครับ,918.36,920.47
