,filename,text,start,end
14,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00014.wav,โครงการต่อจากเราไบนะครับทั้งๆ ที่เรายัง,0:01:55,0:01:57
15,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00015.wav,ยังอยู่ระหว่างการก่อสร้างอยู่นะครับทำให้,0:01:57,0:02:00
16,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00016.wav,บริษัทสามารถรับรู้รายได้รับรู้ผลกำไรมา,0:02:00,0:02:03
17,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00017.wav,เต็มที่นะครับ ซึ่งก็เป็น,0:02:03,0:02:06
18,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00018.wav,ผลดีอย่างยิ่งกับบาลานซ์ชีทของเรานะครับ แล้วกเอ่อ,0:02:06,0:02:09
19,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00019.wav,ในแง่ของตัวรายละเอียด เดี๋ยว,0:02:09,0:02:11
20,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00020.wav,ในช่วง Financial Performance ก็จะมี,0:02:11,0:02:14
21,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00021.wav,รายละเอียดให้ดูนะครับว่าเอ่อผลประกอบการ,0:02:14,0:02:16
22,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00022.wav,ที่เราไดเนี่ยเป็นยังไง ส่วนเรื่องอื่นก็มีการเปิด,0:02:16,0:02:19
23,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00023.wav,ขายโครงการนะครับใหญๆ หลายโครงการ 1 ใน,0:02:19,0:02:22
24,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00024.wav,นั้นคือโครงการไวร์เลสที่ถนนวิทยุที่,0:02:22,0:02:25
25,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00025.wav,เราเปิด joint venture กับทาง Hongkong Lan ก็มีการเริ่ม Soft Sale นะครับ,0:02:25,0:02:28
26,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00026.wav,ที่ตลาดต่างประเทศตรงนี้,0:02:28,0:02:30
27,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00027.wav,ก็ประสบความสำเร็จเป็นอย่างดีนะครับ เดี๋ยว,0:02:30,0:02:32
28,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00028.wav,คงมีรายละเอียดอัพเดทคร่าวๆ ให้รับทราบให้ฟังเช่น,0:02:32,0:02:35
29,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00029.wav,กันครับ ก่อนอื่นขอเป็นภาพ snapshot ของ,0:02:35,0:02:38
30,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00030.wav,โครงการ Aesop 31 ตุลาคม,0:02:38,0:02:41
31,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00031.wav,นะครับ เรามี 26 actives โปรเจกนะครับเป็น,0:02:41,0:02:43
32,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00032.wav,"มูลค่าทั้งหมดประมาณ 54,700 ร้อยล้าน แต่ถ้าเกิด",0:02:43,0:02:45
33,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00033.wav,คิดจะเฉพาะส่วนที่เป็น,0:02:44,0:02:47
34,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00034.wav,"เงินลงทุนของเราโดยตรงก็คืออยู่ประมาณ 28,600",0:02:47,0:02:49
35,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00035.wav,ล้าน เออในแง่ของ Performance,0:02:50,0:02:53
36,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00036.wav,Hilight นะครับเราก็มีเอ่อในช่วง 10 เดือน,0:02:53,0:02:56
37,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00037.wav,ที่ผ่านมามี 6 โปรเจคที่ได้ทำการขายไป,0:02:56,0:02:58
38,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00038.wav,"17,100 ล้าน แล้วก็ทำให้เกิด Pre-sale",0:02:58,0:03:01
39,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00039.wav,"ทั้งหมดประมาณ 12,288 ล้าน นะครับ",0:03:01,0:03:04
40,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00040.wav,ซึ่งในรายละเอียดที่มีการแบ่งก็คือใน,0:03:04,0:03:07
41,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00041.wav,Pre-sale เนี่ยเป็นสัดส่วน,0:03:07,0:03:09
42,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00042.wav,ระหว่างไฮไลฟ์กับโลว์ไลฟ์เกือบครึ่งๆ นะครับ,0:03:09,0:03:12
43,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00043.wav,แล้วกเอ่อ ติบโตขึ้นตามลำดับ,0:03:12,0:03:15
44,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00044.wav,นะครับส่วน Financial Performance 9 เดือน,0:03:15,0:03:17
45,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00045.wav,ที่ผ่านมานะครับเรามียอดโอนทั้งหมด,0:03:17,0:03:19
46,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00046.wav," 4,282 ล้าน นะครับ ซึ่งเป็นยอด",0:03:19,0:03:22
47,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00047.wav,"โอนที่เกิดจากตัวบริษัทโดยตรงประมาณ 3,900",0:03:22,0:03:25
48,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00048.wav,กว่าล้าน เป็น JV ประมาณ 377 ล้าน,0:03:25,0:03:27
49,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00049.wav,ซึ่งเทียบเป็น 30% ล้าน ซึ่งเป็นยอด Year on Year,0:03:27,0:03:29
50,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00050.wav,นะครับส่วน  Financial Performance ก็คือเรฟเวอร์นิว,0:03:29,0:03:32
51,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00051.wav,ตอนปัจจุบันนี้ก็คือบวกขึ้นมาประมาณ,0:03:32,0:03:35
52,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00052.wav,54% นะครับ,0:03:35,0:03:36
53,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00053.wav,"Year on Year 7,274 ล้าน",0:03:36,0:03:37
54,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00054.wav,และก็เป็น Net Profit ประมาณ 719 ล้าน,0:03:38,0:03:41
55,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00055.wav,"นะครับ
ในแง่ของตัวโปรเจคลอสนะครับ",0:03:41,0:03:46
56,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00056.wav,ทั้งหมด 8 โครงการนะครับเอ่อก็เป็นคอนโดมิเนียมนะครับ,0:03:46,0:03:49
57,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00057.wav,"2 โครงการ 11,900 ล้าน",0:03:49,0:03:54
58,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00058.wav," 4 โครงการ ประมาณ 4,900 แล้วก็เป็นทาวน์โฮมเนียร์",0:03:54,0:03:58
59,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00059.wav,"อีก 2 โครงการประมาณ 3,400 ล้าน",0:03:58,0:04:00
60,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00060.wav,นะฮะ,0:04:00,0:04:01
61,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00061.wav,เออในแง่ของภาพรวมของกลยุทธ์ของเรา,0:04:03,0:04:05
62,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00062.wav,ก็ยังดำเนินการนะครับอยู่ในแผน,0:04:05,0:04:08
63,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00063.wav,ตามหลักของเราโดยที่เรามีการ,0:04:08,0:04:10
64,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00064.wav,ขยายตัวแบรนด์ที่เป็นแอมพอทเทเบิล,0:04:10,0:04:13
65,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00065.wav,ของเรานะครับเพิ่มขึ้นมาเรื่อยๆ ก็คือ เอ่อ,0:04:13,0:04:16
66,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00066.wav,nue เนี่ยตอนนี้ปัจจุบันมีอยู่ 15,0:04:16,0:04:19
67,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00067.wav,"โปรเจคนะครับ 29,700 ร้อยล้านเป็นมูลค่ารวม",0:04:19,0:04:22
68,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00068.wav,นะครับ ก็เป็นการเน้นคอนโดหน้าห้องหน้ากว้าง,0:04:22,0:04:24
69,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00069.wav,Facility ที่ครบแล้วก็อยู่ใกล้ศูนย์กลาง,0:04:24,0:04:27
70,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00070.wav,ในการเดินทางนะครับก็เป็น 3 จุดขายหลัก,0:04:27,0:04:29
71,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00071.wav,ของเรา ส่วนของ,0:04:29,0:04:31
72,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00072.wav,ตัว เอ่อ ซัคเซสเวิสพอร์ทโฟลิโอ,0:04:31,0:04:34
73,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00073.wav,ของเรานะครับ ก็จะเห็นได้ว่า Portfollio ของเรา,0:04:34,0:04:37
74,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00074.wav,เนี่ย inventory project ของเรา ซึ่งนับเฉพาะโครงการ,0:04:37,0:04:39
75,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00075.wav,ที่เราอยู่ระหว่างการดำเนินการ,0:04:39,0:04:42
76,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00076.wav,นะครับ ยังไม่รวมพวกที่ดินเปล่าที่เรามีการ,0:04:42,0:04:44
77,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00077.wav,จัดซื้อจัดหาเข้ามา ปัจจุบันนี้เนี่ยเรามี,0:04:44,0:04:47
78,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00078.wav,"ยอด inventory ประมาณเกือบ 50,000 ล้านนะครับ",0:04:47,0:04:50
79,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00079.wav,ซึ่งในนี้ Breakdown ไปเป็นเซ็กเมนต ์ทั้ง,0:04:50,0:04:53
80,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00080.wav,3 เซกเมนต์นะครับคือตั้งแต่,0:04:53,0:04:56
81,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00081.wav,เส้นบนสุดก็คือเป็น ultra luxury,0:04:56,0:04:59
82,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00082.wav,segment นะครับแล้วก็ ultra luxury segment เนี่ย,0:04:59,0:05:01
83,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00083.wav,เอ่อ มูลค่าเกิน 30 ล้านต่อยูนิตเนี่ยเรามี,0:05:01,0:05:04
84,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00084.wav,อยู่ประมาณ 10% นะครับ ก็เป็นมูลค่าโปรเจ็ก,0:05:04,0:05:06
85,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00085.wav,"ประมาณสัก 5,000 ล้าน เกือบ 5000 ล้านส่วนของ",0:05:06,0:05:09
86,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00086.wav,upper luxury segment ก็คือระหว่าง 5 ถึง,0:05:09,0:05:11
87,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00087.wav,30 ล้าน ตรงนี้เนี่ยเรามีอยู่อีก,0:05:11,0:05:13
88,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00088.wav," 28,180 ล้าน คิดเป็น 57%",0:05:13,0:05:16
89,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00089.wav,นะครับ ก็เป็นสัดส่วนที่ใหญ่ที่สุดของเรา ส่วน,0:05:16,0:05:19
90,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00090.wav,ของแอทพอทเทเบิลเซกเมนต์นะครับ,0:05:19,0:05:22
91,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00091.wav,ก็จะเป็นอะไรที่ต่ำกว่า 5 ล้านนะครับ เป็น,0:05:22,0:05:25
92,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00092.wav,แบรนด์นิวเป็นหลัก ตรงนี้เนี่ยเรามี,0:05:25,0:05:27
93,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00093.wav,"อีก 16,140 ล้าน นะครับ",0:05:27,0:05:30
94,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00094.wav,ก็ทำให้เราสามารถขยายตัวได้ครอบคลุมทุก,0:05:30,0:05:33
95,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00095.wav,ตลาดนะฮะตั้งแต่สูงสุดจนถึง,0:05:33,0:05:35
96,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00096.wav,ระดับเซกเมนต์แอพพอทเทเบิลนะฮะ,0:05:35,0:05:38
97,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00097.wav,ส่วนของ Partner ship นะครับ ปัจจุบันนี้ก็,0:05:38,0:05:40
98,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00098.wav,ยังมีการร่วมมือกันนะครับ กับ Partner,0:05:40,0:05:43
99,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00099.wav,ของเรา หลักของเราก็คือกลุ่มบริษัท บีทีเอส นะครับเอ่อ,0:05:43,0:05:46
100,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00100.wav,มีกลุ่มบริษัทธนรักษ์ ซึ่งจริงๆ,0:05:46,0:05:48
101,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00101.wav,แล้วคือเอ่อ 50% ถือโดย,0:05:48,0:05:51
102,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00102.wav,ทางกลุ่มบริษัท สหพัฒน์นะครับ แล้ว,0:05:51,0:05:54
103,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00103.wav,ก็มีโปรเจคที่เราทำร่วมกับ Hongkong Land นะครับ,0:05:54,0:05:57
104,Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์/Oppday Q32023 NOBLE บมจ โนเบิล ดีเวลลอปเมนท์_chunk00104.wav,ทั้งหมด 12 โครงการรวมทั้งสิ้นมูลค่า,0:05:57,0:05:59
