true_text,pred_text
บริษัทเราได้เข้าซื้อธุรกิจตัว,บริษัทเราได้เข้าซื้อธุรกิจตัวการ
galaxy ranger,ที่ เวนเจอร์
ซึ่งเป็นธุรกิจ startup,ซึ่งเป็นธุรกิจสตาร์ทอัพ
ที่ลงทุนเกี่ยวกับโลจิสติกส์,ชื่อของคุณเกี่ยวกับ ลออร์จิสติกส์
ซึ่งในดีลนี้,เชื่อมายดีอยู่เนี่ย
เราได้ทั้งความรู้เกี่ยวกับสตาร์ทอัพต่างๆ,เราได้ทั้ง อ่า ความรู้เกี่ยวกับสารอัพต่างๆ
ทั้งหลอดฟิสิกส์ต่างๆ,รัฐ ที่ สิทธิ ต่าง ๆ ร่วม
รวมทั้งรู้ว่าดีลไหนที่เราควรลงทุน,ทั้งรู้ว่าดีไหนที่เราควรลงทุน
หรือว่าไม่ควรลงทุนด้วยนะครับ,หรือว่าไม่ควรหลงลงจริงด้วยล่ะครับ
ปี 2021,สองพันยี่สิบเอ็ด
ทางบริษัทเองเราเล็งเห็นว่า,ทางบริษัทเองเนี่ยเรานึงถึงว่า
เราควรจะต้องเติบโตในธุรกิจที่เป็นเกี่ยวกับภายในประเทศเพิ่มมากขึ้น,เราควรจะต้องเติบโตในธุรกิจที่เป็นเกี่ยวกับพันธุ์ประเทศเพิ่มมากขึ้น
ซึ่งโดยธุรกิจหลัก,ซึ่งโดยธุรกิจราชนั่นแหละ
เราเป็นธุรกิจที่ระหว่างประเทศซะส่วนใหญ่,เป็นธุรกิจที่ระหว่างประเทศสัดส่วนใหญ่
เราเลยหาแหล่งรายได้ใหม่ ๆ,หาหลังรายได้ใหม่ใหม่เชื่อ
ที่จะลงทุนเกี่ยวกับภายในประเทศ,ลงทุนเกี่ยวกับภายใน ภายในประเทศ
เราเดินเข้าไปลงทุนในธุรกิจตัว,เราเดินเข้าไปลงทุนในธุรกิจตัวชิพสี
ship smile,สมัย
แล้วก็ make sense,ก็มีอักเสบซื้อไป
ซึ่งเป็นธุรกิจเกี่ยวข้องกับ,ธุรกิจเกี่ยวข้องกับ
ธุรกิจขนส่งสินค้าภายในประเทศที่เกี่ยวข้องกับสินค้า,ธุรกิจ ผล ส่ง สินค้า ภายใน ภายในประเทศ ที่ เกี่ยวข้อง กับ สินค้า
e commerce,อืม
ในปี2022ครับธุรกิจของทริพเพิลไอเนี่ยก็ได้เข้าซื้อบริษัทเอเชียจีเอสเอเอ็มที่มาเลเซียซึ่งเป็นชิ้นส่วนสําคัญในรายการเพิ่มคุณความสมบูรณ์ของธุรกิจจีเอสเอในการมุ่งสู่การเป็นผู้นําในระดับภูมิภาค,ปี พันยี่สิบสองครับธุรกิจของ ธิปไลน์ เนี่ย ก็ได้เข้าซื้อ เข้าซื้อบริษัทเอเชีย จีเอสเอเอ็ม ที่มาเลเซีย ซึ่งเป็นชิ้นชวดสำคัญใน ใน ในการ เพิ่มคูณความสมบูรณ์ของธุรกิจจีเอสเอ ในการมุ่งสู่การเป็นผู้นำในระดับกลุ่มวิภาค
และต่อมาเราได้มีการทําการปรับโครงสร้างใหม่ของธุรกิจ,แล้วต่อมาเราได้เป็นการทำการปรับโครงสร้างใหม่ของธุรกิจจีน
gsa,ทีเอสเอ
ให้อยู่ภายใต้ธุรกิจภายใต้ของ ANI,อยู่ภายใต้ของธุรกิจภายใต้บริษัทของเอไน
เพื่อเตรียมตัวเข้าสู่ listed,เตรียมตัวเข้าสู่ลิสเต็ดในตา
ในตลาดหลักทรัพย์ในปีถัดไปครับ,ในปีถัดไปครับ
ส่วนในปี 2023 นั้น,ในปี พ.ศ. 2523 นั้น
ทางทริพเพิลไอเอง,tubbo.ie นะครับ
ได้เตรียมตัวในการนํา ANI,ใจเตรียมตัวในการนำ AI ขึ้น
เข้าจดทะเบียนใน,ก็คือติดลงมาก็ติดลงมา
set ภายในสิ้นปีนี้ครับ,ภายในสิ้นปีนี้ครับ
อันนี้คือธุรกิจทั้งหมดของทริพเพิลไอที่ผ่านมาจะเห็นได้ว่าเราลงทุนในธุรกิจที่เป็นโลจิสติกส์ที่มันเกี่ยวเนื่องกัน,อันนี้คือทุกสิ่งทั้งหมดของ อธิบายที่ผ่านมาจะเห็นได้ว่าเราลงทุนในทุก ในทุกสิ่งที่เป็นโนติสิกส์ที่มันเกี่ยวเนื่องกัน
ทั้งการเพิ่มขยายความสามารถในการแข่งขัน,ทั้งการเพิ่มขยายความสามารถในการเด่นขันธ์
เพิ่มในของตัว,เพิ่มในของตัว
เอ่อ,เอ่อ ครอบครัว
ขอบเขตการให้บริการและก็เซอร์วิสต่างต่างให้มันครอบคลุมเซอร์วิสโลจิสติกส์ให้ครอบคลุมทางเอเชียเพิ่มมากขึ้นครับ,การให้บริการแล้วก็สวิตช์ต่างๆให้มันครอบคลุมสวิตช์ลอร์ทิติให้ครอบคลุมทางเอเชียเพื่อมากขึ้นครับ
ในส่วนถัดไปนะครับตัวนี้จะเป็นตัวbussinessของเราทั้งกรุ๊ปของทริปเปิ้ลไอเอง,ในส่วนถัดไปนะครับ ตัวนี้จะเป็นตัวพีเช็กซ์ของเราทั้งคู่ของถิบไนท์เอง
ซึ่ง,ชื่อ
ซึ่งบริษัททริพเพิลไอโลจิสติกส์เนี่ยได้ให้บริการโลจิสติกส์แบบครบวงจรในระดับภูมิภาค,ซึ่งบริษัทที่ไมโลจิสติกส์ เนี่ย ได้ให้บริการโลจิสติกส์แบบคุกคุ้งจอดในระดับภูมิภาค
ซึ่งแบ่งเป็นสี่bussinessย่อยด้วยกันนะครับ,ซึ่งแบ่งเป็นสี่พิเศษด้อยด้วยกันนะครับ มี
มีหนึ่งเป็นAir Freightนะครับ,เป็น แอร์เฟรด นะครับ ที่นี่คือ
ชนิดที่สองเป็นChemical,ที่สองเป็นเคมีภาพ
ธุรกิจที่สามเป็นLogistics,ธุรกิจศาสตร์ เป็น โลจิสติกส์ มาเนิด
management,พระราชวัง
และธุรกิจที่สี่เป็น Sea and,การ สร้าง ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความรู้ ที่ มี ความร
inland transport,มันก็จะโปรด
ซึ่งเรามาดูตัวAir Freightก่อน,มาดูตัวแอร์เสร็จก่อน
ตัวAir Freightจะแบ่งเป็นสี่ business,ว่า อาเฟ่จะแบ่งเป็นสี่พิเศษด้วย
ด้วยกันนะครับ business,พัฒนาพิเศษแรก
แรกคือตัว gsa,ก็จะมีการแบ่งแยกอยู่ตัว จีเอสเอ ลิ ส
หรือว่าตัว general sales agent,ว่า ตัว จิน น อ ล ซิ ล เอ เจ น
หรือเรียกว่าเป็นตัวแทนขายระหว่างให้แก่สายการบิน,หรือเรียกว่า เปิลต์ตูนแทนขายระหว่างให้แก่สายการบิน
ซึ่งหน้าที่ของเขาคือ,หนึ่งหน้าที่ของเขาคือ
สายการบินจะ appoint,จะแอบถอย
มาให้เราดูแลที่เป็นในฐานะ gsa,ให้เราดูแลที่เป็นอสังหาริมทรัพย์ จีเอสเอ ดูแล
ดูแลบริหารจัดการพื้นที่ใต้ท้องระวังทั้งหมดของสายการบิน,และ บริหาร จัดการ พื้นที่ ใต้ ท้อง ระวัง ทั้งหมด ของ สาย การ บิน
ในการขนส่งสินค้านะครับ,การขนส่งสินค้านะครับ
ส่วนที่ 2,สองตัว
ตัว Wholesale Freight Forwarder,ทั้งหมด เป็น
เป็นธุรกิจรับจัดการขนส่งสินค้า,เป็น ธุรกิจ รับ จัด การ เปิด ส่ง สินค้า
ซึ่งตัว hold sales flash folder,ตัวโฮเซลเฟตออกเทรดมาด้วยอีก
เอง จริงๆ,จริง ๆ แล้ว
แล้วเป็นลูกค้าของตัว,เป็นลูกค้าของตัว
gsa หรือว่า General Sale Agent,สติ๊กซ์ เอ ลัว จิ เน รัล เซิร์ฟ เอ เจียน
ส่วนที่ 3 ของแอร์นั้นก็คือธุรกิจ,อุณหภาพของแอนนั้นคือธุรกิจ
Ground Handling and Air,การเฮาดิ้ง แอด แอร์ คลับ
Cargo Terminal,กู้ ขิมโรจน์
ตัวนี้เป็นธุรกิจที่ให้บริการภาคพื้นแก่สนามบิน,อันนี้เป็นธุรกิจที่บริหารให้บริการพรากคืนแกะสนามบิน
ผู้โดยสาร,มีศาล
และก็เครื่องบินนะครับ เช่น,เครื่องบินนะครับ เช่น
เวลามีเครื่องบินเข้ามาในสนามบินเนี่ย ธุรกิจเนี้ยคือจะลากเครื่องบินเข้า เข้าไปในท่าจอดทําความสะอาดเครื่องบิน เติมเชื้อเพลิงให้กับเครื่องบิน,อันนี้เครื่องบินเข้ามาในสถานที่ไหนธุรกิจไหนคือจะลากเครื่องบินเข้าเข้าในค่าจอดทำความสะอาดเครื่องบินเติมเชื้อเฟิงกับเครื่องบิน
รวมทั้งรวมทั้งทําความสะอาดภายใน,รวมทั้ง รวมทั้งทรัพย์สหศาสตร์ พระเนย
ภายในสนามบินด้วย,ภายในสนามบินด้วย
และยังมีตัวAir Cargo Terminal เป็นคลัง เป็นคลังสินค้าที่,และ ยังมี ตัว แอร์ คาร์ โก้ ทรู เทอร์มินอล เป็น ทาง เป็น ทาง สินค้า ที่
ที่เอาไว้ให้สินค้าผ่านคลังสินค้าที่สนามบินครับ,ที่เอาไว้ให้สินค้าผ่านทางสินค้าที่สามอินทร์ครับ
ธุรกิจที่สองเป็นธุรกิจ,ธุรกิจที่สองเป็นธุรกิจ
chemical ซึ่งธุรกิจ chemical,ซึ่งธุรกิจเคมีเคลเนี่ย
หลักๆ จะให้บริการแก่ลูกค้าที่เป็นต่างชาติ,หลัก ๆ จะเป็นให้บริการแก่ลูกชาที่เป็นต่างชาติ
ซึ่งเป็น global brand เกือบทั้งหมด เช่น,ซึ่งเป็น global ban เกือบทั้งหมดเช่น
Dow Chemical,ดาวเคมีทอล
Henkel BASF,แห่ง เที่ยว บี เอ เอส เอฟ
ซึ่งตัว chemical,ตัว คีมิคอล เนี่ย
เนี่ยแบ่งหลักๆ เป็น 2 part,อย่างนับหลักด้วยสองข้อทับทาง
ครับ เป็น part,ที่พอร์ต
International แล้วก็,ดิน น้อง ละ ก็
Domesic,ขอบคุณมากครับ
ฝั่งของ inter,ของอินเตอร์
เนี่ยจะเป็นพวก Freight Forwarder,มันจะเป็นพวกเศษสวดด้วย
ต่างๆ เช่น ขนส่งสินค้าทางอากาศ,เช่น หัว ทรง ศิลปะ ห้า อากาศ
แล้วก็ทางทะเล,แล้วก็ทางฝรี
ส่วนฝั่งของ,คือฝั่งของดวงจิต
Domestic,ตรงนี้สิ ออกให้
เราให้บริการส่วนของคลังสินค้าที่เป็น,ให้บริการส่วนของทางสินค้าที่เป็น
Dedicated,เกียรติเหตุ แต้เป็นสิ่งที่
เป็นสินค้าเฉพาะทางสําหรับเคมีภัณฑ์และสินค้าอันตราย,สินค้าเฉพาะหากจับ คิมมิภัณฑ์ และ ก็ สิ ค้า อันตราย
แล้วก็ยังให้บริการส่วนของขนส่งสินค้าทางทางบกนะครับ,ก็ยังให้บริการส่วนของขนส่งสินค้าทางทางบกนะครับ
ส่วนของ DG Packaging,ของ ดี จี แพ็ค เก จ จิ้ง ไพ่
ให้เป็นบริการ,เป็นบริการ
pick and pack บรรจุภัณฑ์,ที่แข็งแพ้เหมือนจุกลำ
หรือฝ่ายผลิตภัณฑ์บรรจุสําหรับสินค้าอันตรายและผลิตภัณฑ์ในการขึ้นเครื่องบิน,ฝ่ายผลิตภัณฑ์บรรจุทนับสินค้าอัตราและผลิตภัณฑ์ในการขึ้นทุน
และสุดท้ายคือตัว,แล้วสุดท้ายคือตัว
ISO tank ที่จะเป็นขนส่ง,เป็นส่วนแทนที่จะเป็นขนส่ง
Liquid transport ครับ,คลิป คลาสสปอร์ต ครับ
ส่วนที่ 3,ส่วนที่สาม
เป็นกลุ่มของ,ที่พุ่งของโลจิน
logistics management,การบริหาร ซึ่ง
ซึ่งเป็น business model,เป็น vision model จะทำให้เรา
จะคล้าย ๆ,จะใช้จิต
กลุ่มของ,อืม
chemical,มีโพล
ที่แตกต่างกันเพียงแค่ตัวสินค้า,ที่แตกต่างกันเพียงแค่ตัวสินค้า
ที่เป็นตัว,เป็นตัวเจี้ยนเฉิน
general goods,เป็นรอบกูดหรือเป็น
หรือเป็นสินค้าทั่ว ๆ ไป,สุทธาทุกรู้ว่าไป
ซึ่งแบ่งเป็น short part เช่นกัน,ซึ่งแบ่งเป็นสมองพลัดเช่นกัน
part,ก็จะ
แรกจะเป็นส่วนของ international,ในเรื่องของอินเทอร์เน็ตเว่าเฟส
freight,คิดได้
ก็คือเป็นขนส่งทางอากาศแล้วก็ทางทะเล,เป็นฝุ่นส่วนใหญ่ทางอากาศแล้วก็ทางทะเล
ส่วนที่ 2 เนี่ยจะเป็นส่วนของ,ส่วนที่สองเนี่ยจะเป็นส่วนของโดมัน
domestic,การสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์เน็ตในการสร้างอินเทอร์ในการสร้างอินเทอร์ในการสร้างอินเทอร์ในการสร้างอินเทอร์ในการสร้างอินเทอร์ในการสร
มีทั้ง warehouse,ทั้งเวย์เฮา
ทํา distribution,ของ ดิส มิ ว ชัน
นะครับ ทํา fulfillment,กับ ทำ ฟู ล ฟิว เม นท์
แล้วก็ทําตัว drop point service,แล้วก็ทำตัวดอกดอกพลอยเซอร์วิส
drop point,พอสมิติ
service,เยอะ
เนี่ยเราจะทําผ่านตัว,แล้วทำผ่านตัวใช่ไหม
sabuy speed,สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ สาม สิบ
นะครับ ตัวที่เราไป,ขับตู้ที่เราไป
เป็นตัวที่เราถือขึ้นอยู่ใน,ตัวที่เราเกิดขึ้นอยู่ในสังคม
sabuy speed,สะบัดสปีดซึ่ง
ซึ่งให้บริการเป็นจุด,ให้บ่อยกลายเป็นทำเป็นจุด
drop point,คอย พิง
pick up point,อ่ะ โหย จิ้ง
ซึ่งให้บริการแก่พวก,ให้บริการแก่ พวก
service provider ต่าง ๆ เช่น,โอวิน โฮเดอร์ ต่าง ๆ เช่น
orange ที่เป็น fighting brand,ที่ เป็น ไฟ ติ้ง แบน ของ
ของเคอรี่,ของ เฮอร์รี่
รวมทั้ง,อืม
current express,ตัวหนึ่ง เอสเพรส
รวมทั้งเป็นของ,ความเป็นของ
lazada express,สาธุ ด้าย อิส ปิ ยะ
แล้วก็เป็นของนินจาต่างๆนะครับ,ก็ เป็น ของ วิญญาณ ต่าง ๆ นะ ครับ
ส่วน super express service,สุโขทัย เอ็กซ์เพลียร์โซลิน
เป็นตัวของ make sense นะครับ,ตัวของ เหม็ดเซ็นต์ นะครับ
ที่ให้บริการขนส่งสินค้าแบบเร่งด่วนมากๆ,ที่ให้บริการผล สินค้าแบบเร่งดูดมากมาก
ภายใน same day,ในเซียนบี ซึ่ง
ซึ่งให้บริการทั้งกรุงเทพฯ,ให้บริการทั้งกลุ่มเพศด้วย
และก็ปริมณฑล,แล้วก็ปริมณฑล
ส่วนที่ 4 เป็นส่วนสุดท้าย เป็น,ส่วน ที่ สี่ เป็น สุดท้าย เป็น ตัว
service ที่เกี่ยวกับ,สุขุมภีร์ที่เกี่ยวกับ
sea and inland transport,อิน อิน แอ น คา ส ปอร์ ชื่อ
ซึ่งแบ่งเป็น 4 service,เป็น สี สวิตช์ ด้วยกัน
ด้วยกันนะครับ,อันนะครับ
ส่วนที่ 7,มิเชฟแรก
แรกคือตัวแทนสายเรือนะครับ,ก็คือเป็นตัวตรวจแกนสายเรือนะครับ
ที่เราเป็นตัวแทนให้กับ,เราเป็นสถานะกับตัว
secureline ซึ่งมีรูทสําคัญก็คือ,ซึ่งมีรู้สำคัญก็คือ
ทั้งไทย,พอ
ไปญี่ปุ่น แล้วก็เกาหลี,ญี่ปุ่น ภาวะเกาหลี
ส่วนที่ 2,สอง เป็น
เป็น Wholesale Freight Forwarder,เป็น โฮเชลล์ เทรด โปรดเดอร์
ที่เราทําผ่านทาง,ที่เราทำผ่านทางจน
joint venture คือตัว,เมนเจอร์คือตัว
ECU worldwide นะครับ,หัววายนะครับ
ที่ให้บริการขนส่งสินค้าแบบ,ให้ บริการ ขนสู่ สิ ครับ อัฟ เก รส ได้ อัน
Less than Container Load,หลวงพ่อที่นี่ก็หมอ
ซึ่งโดยปกติแล้วการขนส่งสินค้าทางเรือเนี่ย,ด้วยปกติแล้วการขุดสุดนะครับ ห้องเรียนเนี่ย
เป็นขนส่งสินค้าแบบเต็มตู้,ผลสูงสุดครับแบบเต็มอยู่ตู้แบบ
หมายความว่าลูกค้าจะขนส่งต้องเหมาทั้งตู้นะครับ,ว่า ลูกค้า เป็น ขุนสูง ต้อง หมาย ทั้ง ตู้ นะครับ
ตัวของECU worldwide เป็น Less than,ของไอ้คู่เมื่อวานเนี่ยเป็นเลสแลนด์ทูล
Container Load หมายความว่า,มีเมื่อหมดหมายความว่า
ลูกค้าบางรายมีสินค้าที่ไม่ต้องจําเป็นต้องซื้อทั้งตู้,ลูกค้าบางรายเนี่ยมีสินค้าไม่ที่ไม่ต้องจะไปต้องซื้อทางตู้
