true_text,pred_text
เริ่มในส่วน,ความรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับรับ
part ที่ 2,ส่อง
เป็นเรื่องของผลประกอบการ,เรื่องของผลประกอบการ
รวมทั้งต่อเนื่องไปถึง,ทั้งต่อเนื่องไปถึง
industry outlook,อาวุธละคร
แล้วก็รวมทั้งเป็นอัพเดทการลงทุนของกลุ่มบริษัทที่มีในปัจจุบัน,รวมทั้งเป็นอัปเดตการลงทุนของกลุ่มบริษัทที่มีในปัจจุบัน
ก็จะให้ทางคุณณัฐสิทธิ์เริ่มได้เลยครับ,เราจะให้ทางคุณนักศาสิน เริ่มได้เลยครับ
ขอบคุณครับ,ข้อควรครับ
อันนี้เราอยากพามาดู,ทีนี้เราอยากทำดูตัว
business timeline,วิเศษทำร้ายนะครับ
นะครับ ว่าที่ผ่านมาเนี่ย,ว่าที่ผ่านมาเนี่ย
บริษัทของเราได้ลงทุนอะไรไปบ้าง,บริษัทของเราได้ลงถึงอะไรไปบ้าง
แล้วก็ซื้อดีลอะไรบ้าง,ก็ซื้อดิวอะไรบ้าง
แล้วก็ขยายธุรกิจอะไรไปบ้างหลังจากที่เราเข้าตลาดเนี่ย,พี่อยากที่จิตอะไรไปบ้าง หลังจากที่เราเข้าตลาดนี้
เราได้เริ่มเข้าตลาดในปี2017นะครับ,เราได้เริ่มเข้าตลาดในปี 2017 นะครับ
แล้วก็ในปี2018เนี่ย,แล้วก็ในปีสมัยสิบแปดนี้
เราได้เข้าซื้อบริษัทดีจีพีสิงคโปร์นะครับที่ลงทุนเกี่ยวกับธุรกิจบรรจุภัณฑ์สําหรับสินค้าอันตรายและเคมีภัณฑ์,เราได้เข้าซื้อบริษัท DGP ซิงคโปร์ ที่ลงทุนเกี่ยวกับธุรกิจบรรจุภัณฑ์สำหรับสินค้าอัตรายและเคมีภัณฑ์
ซึ่งมีการขยายขอบเขตการให้บริการซึ่งแต่เดิมเนี่ยเราได้ให้บริการเพียงแค่ในภายในประเทศนะครับ,ซึ่งเป็นการขยายขอบเขตการให้บริการ ซึ่งแต่เดิมเราได้ให้บริการเพียงแค่ภายในประเทศนะครับ
ต่อมาในปี 2019,มารับทริปสมัสสิทธิ์กัน
เราได้ขยายธุรกิจ,ได้แพร่ธุรกิจ
ในการเข้าซื้อตัว,ในการเข้าซื้อตัว AOL
altga authka ผ่านทาง sal,LTGA หรือว่า OTAG ผ่านทาง HAL
ซึ่งเป็นการขยายธุรกิจตัวของ,ซึ่งเป็นการขยายธุรกิจตัวของกราฟิน
gapandering นะครับ,Handling
ซึ่งแต่เดิมเนี่ย,ชิ้นแต่เดิม
เราให้บริการเพียงแค่ตัวของ cargo,ไม่เช่น เพียงแค่ตัวของคาร์โก้
แต่หลังจากนั้น,แต่มันเนี่ย
หลังจากที่เราเข้าซื้อ,แต่จากที่เราเข้าซื้อ
เราได้ไปเข้าเพิ่มในส่วนของบริการ,เราได้เข้าเพิ่มในบริการส่วนของ
ส่วนของ passenger ด้วย,เป็นประเทศเจ้าด้วย
ถัดมาในปี 19 ต่อมา,ถัดมาใน P19
เราได้เข้าซื้อตัว allow logistics,เราได้เข้าซื้อตัว allow logistics
management ที่ประเทศฮ่องกง,ที่ประเทศฮ่องกง
ซึ่งเป็นการขยายธุรกิจการให้บริการส่วนของ,ซึ่งเป็นการขยายธุรกิจ การให้บริการส่วนของ GSM
gsa,เอ่อ
ไปในระดับภูมิภาคเพิ่มมากขึ้นนะครับ,ไปในระดับคุณภาพเพิ่มมากขึ้นนะครับ
ในปี 2020 เนี่ยครับ,ในปี 2020
บริษัทเราได้เข้าซื้อธุรกิจตัว,บริษัทเราได้เข้าซื้อธุรกิจตัว
galaxy ranger,ที่เบนเจอร์
ซึ่งเป็นธุรกิจ startup,ซึ่งเป็นธุรกิจ Startup
ที่ลงทุนเกี่ยวกับโลจิสติกส์,ที่ต้องคุยเกี่ยวกับ Logistics
ซึ่งในดีลนี้,ซึ่งในดีลวิวเนี่ย
เราได้ทั้งความรู้เกี่ยวกับสตาร์ทอัพต่างๆ,เราได้ทั้งความรู้เกี่ยวกับสารอัพต่าง ๆ
ทั้งหลอดฟิสิกส์ต่างๆ,ทั้งลอทธิสติกต่างๆ
รวมทั้งรู้ว่าดีลไหนที่เราควรลงทุน,ทั้งรู้ว่า ดินไหนที่เราควรลงทุน
หรือว่าไม่ควรลงทุนด้วยนะครับ,หรือว่าไม่ควรลงทุนด้วยนะครับ
ปี 2021,ปี 2021
ทางบริษัทเองเราเล็งเห็นว่า,ข้างบริษัทเองเราเรียกถึงว่า
เราควรจะต้องเติบโตในธุรกิจที่เป็นเกี่ยวกับภายในประเทศเพิ่มมากขึ้น,เราควรจะต้องเติมโตในธุรกิจที่เป็นเกี่ยวกับธนเทศเพิ่มมากขึ้น
ซึ่งโดยธุรกิจหลัก,ซึ่งโดยธุรกิจหลากนั้น
เราเป็นธุรกิจที่ระหว่างประเทศซะส่วนใหญ่,เป็นธุรกิจที่ระหว่างประเทศซาส่วนใหญ่
เราเลยหาแหล่งรายได้ใหม่ ๆ,เราเลยหาแหล่งแรกใหม่ๆ
ที่จะลงทุนเกี่ยวกับภายในประเทศ,ลงทุนเกี่ยวกับภายในประเทศ
เราเดินเข้าไปลงทุนในธุรกิจตัว,เราเดินเข้าการลงทุนในธุรกิจตัวชิปซีน
ship smile,ทำไม
แล้วก็ make sense,ก็มีอักเสบียงซึ่งเป็น
ซึ่งเป็นธุรกิจเกี่ยวข้องกับ,เป็นธุรกิจเกี่ยวข้องกับ
ธุรกิจขนส่งสินค้าภายในประเทศที่เกี่ยวข้องกับสินค้า,บุคกฤษผลชงสินค้าภายในประเทศที่เกี่ยวข้องกับสินค้า
e commerce,ข้อมูล
ในปี2022ครับธุรกิจของทริพเพิลไอเนี่ยก็ได้เข้าซื้อบริษัทเอเชียจีเอสเอเอ็มที่มาเลเซียซึ่งเป็นชิ้นส่วนสําคัญในรายการเพิ่มคุณความสมบูรณ์ของธุรกิจจีเอสเอในการมุ่งสู่การเป็นผู้นําในระดับภูมิภาค,ใน 2022 ครับ ธุรกิจของ GSI ก็ได้เข้าซื้อบริษัท Asia GSA M ที่มาเลเซียซึ่งเป็นชิ้นส่วนสำคัญในการเพิ่มคุณความสมบูรณ์ของธุรกิจ GSAในการวุ่งสู่การเป็นผู้นำในระดับภูมิภาค
และต่อมาเราได้มีการทําการปรับโครงสร้างใหม่ของธุรกิจ,และต่อมาเราได้ไปทำการปรับโครงสร้างใหม่ของธุรกิจจีน
gsa,ที่เอ่อ
ให้อยู่ภายใต้ธุรกิจภายใต้ของ ANI,ให้อยู่ภายใต้ของบริกฤต ภายใต้ของ ANI
เพื่อเตรียมตัวเข้าสู่ listed,เพื่อเตรียมตัวเข้าสู่ลิสต์เต็ด
ในตลาดหลักทรัพย์ในปีถัดไปครับ,อักษัตริย์ในปีถัดไปครับ
ส่วนในปี 2023 นั้น,ในปี 2023 นั้น
ทางทริพเพิลไอเอง,ที่เราไว้เองนะครับ
ได้เตรียมตัวในการนํา ANI,ในการนำ ANI ขึ้นไป
เข้าจดทะเบียนใน,โดยเฉพาะเท่านั้น
set ภายในสิ้นปีนี้ครับ,ใครในช่วงปีนี้ครับ
อันนี้คือธุรกิจทั้งหมดของทริพเพิลไอที่ผ่านมาจะเห็นได้ว่าเราลงทุนในธุรกิจที่เป็นโลจิสติกส์ที่มันเกี่ยวเนื่องกัน,อันนี้คือธุรกิจทั้งหมดของชีวิตใหม่ที่ผ่านมาจะเห็นได้ว่าเรารงทุนในธุรกิจที่เป็นโลทิสติกที่มันเกี่ยวเนื่องกัน
ทั้งการเพิ่มขยายความสามารถในการแข่งขัน,ทั้งการเพิ่มขยายความสามารถในการหยุดขัน
เพิ่มในของตัว,เพิ่มในของตัว
เอ่อ,ฮอบแค่
ขอบเขตการให้บริการและก็เซอร์วิสต่างต่างให้มันครอบคลุมเซอร์วิสโลจิสติกส์ให้ครอบคลุมทางเอเชียเพิ่มมากขึ้นครับ,การให้บริการและสวิตต์ต่างๆ ให้มันควบคุมสวิตต์ลอจิสต์ให้ควบคุมทางต่างๆ เพื่อมากขึ้นครับ
ในส่วนถัดไปนะครับตัวนี้จะเป็นตัวbussinessของเราทั้งกรุ๊ปของทริปเปิ้ลไอเอง,ในส่วนถัดไปนะครับ ตัวนี้จะเป็นตัวประสิทธิ์ของเราทั้งกลุ่มของ Triple-I เอง
ซึ่ง,สิ่ง
ซึ่งบริษัททริพเพิลไอโลจิสติกส์เนี่ยได้ให้บริการโลจิสติกส์แบบครบวงจรในระดับภูมิภาค,ซึ่งบริษัทที่ MyLogistics ได้ให้บริการโลจิสติกแบบครบวงจรในระดับภูมิภาค
ซึ่งแบ่งเป็นสี่bussinessย่อยด้วยกันนะครับ,ซึ่งแบ่งเป็น 4 วิเศษย้อยด้วยกันนะครับ
มีหนึ่งเป็นAir Freightนะครับ,เป็นแอร์เปลี่ยน
ชนิดที่สองเป็นChemical,ที่สองเป็น Chemical
ธุรกิจที่สามเป็นLogistics,ดูกิจการเป็นลอย District Manager
management,ของ
และธุรกิจที่สี่เป็น Sea and,และทุ่มเวลาขึ้นที่ 4 เป็น C&E
inland transport,ข้าสปอนด์
ซึ่งเรามาดูตัวAir Freightก่อน,เพราะว่าเราไม่ดูอันเฟ็ดตอน
ตัวAir Freightจะแบ่งเป็นสี่ business,ว่า AirFade จะแบ่งเป็น 4 พิเศษ
ด้วยกันนะครับ business,วิเศษแรก
แรกคือตัว gsa,และมีตัว GSA
หรือว่าตัว general sales agent,หรือว่าตัว General Sales Agent
หรือเรียกว่าเป็นตัวแทนขายระหว่างให้แก่สายการบิน,หรือเรียกว่าเป็นตัวแทนข่ายระวังให้แก่สายการบิน
ซึ่งหน้าที่ของเขาคือ,หน้าที่ของเขาคือ
สายการบินจะ appoint,กระดิ่งจะแอบพ้อย
มาให้เราดูแลที่เป็นในฐานะ gsa,ให้เราดูแลที่เป็นอาณาจีเอสเอดู
ดูแลบริหารจัดการพื้นที่ใต้ท้องระวังทั้งหมดของสายการบิน,และบริหารจัดการพื้นที่ใต้ฟ้องระวังของสายการบิน
ในการขนส่งสินค้านะครับ,การผลส่งสินค้า
ส่วนที่ 2,สอง
ตัว Wholesale Freight Forwarder,โฮเซลเฟสฟอร์วอเดอร์
เป็นธุรกิจรับจัดการขนส่งสินค้า,เป็นธุรกิจรับจัดการขนส่งสินค้า
ซึ่งตัว hold sales flash folder,ตัวโฮเซลเฟส เฟส เฟส เฟอร์เดอร์เอง
เอง จริงๆ,จริงๆ นะครับ
แล้วเป็นลูกค้าของตัว,เป็นลูกค้าของตัว
gsa หรือว่า General Sale Agent,หรือว่า General Service Agent
ส่วนที่ 3 ของแอร์นั้นก็คือธุรกิจ,ภารกิจ
Ground Handling and Air,แอดแอร์ค่ะ
Cargo Terminal,โฆษีมราว
ตัวนี้เป็นธุรกิจที่ให้บริการภาคพื้นแก่สนามบิน,เป็นธุรกิจที่ให้บริการค่าพื้นแก่ฉนามบิน
ผู้โดยสาร,เดชะ
และก็เครื่องบินนะครับ เช่น,หรือว่าเครื่องบินนะครับ
เวลามีเครื่องบินเข้ามาในสนามบินเนี่ย ธุรกิจเนี้ยคือจะลากเครื่องบินเข้า เข้าไปในท่าจอดทําความสะอาดเครื่องบิน เติมเชื้อเพลิงให้กับเครื่องบิน,เวลามีเครื่องบินเข้ามาในสถานีจินธุรกิจในการร่าวเครื่องบินเข้ามาในท่าจอดทำความสะอาดเครื่องบิน เติมเชื้อเปลืองกับเครื่องบิน
รวมทั้งรวมทั้งทําความสะอาดภายใน,ส่วนทางจะพร้อมสาหกพันธ์ไหน
ภายในสนามบินด้วย,ภายในสนามบินด้วย
และยังมีตัวAir Cargo Terminal เป็นคลัง เป็นคลังสินค้าที่,และยังมีตัว Air Cargo เป็นครั้งสินค้าที่
ที่เอาไว้ให้สินค้าผ่านคลังสินค้าที่สนามบินครับ,ที่จะให้สินค้าผ่านทางสินค้าที่ 3 วินครับ
ธุรกิจที่สองเป็นธุรกิจ,ธุรกิจที่ 2 เป็นธุรกิจ
chemical ซึ่งธุรกิจ chemical,ซึ่งธุรกิจเคมิเคราะห์
หลักๆ จะให้บริการแก่ลูกค้าที่เป็นต่างชาติ,หลักๆจะเป็นให้บริการแก่ลูกค้าที่เป็นต่างชาติ
ซึ่งเป็น global brand เกือบทั้งหมด เช่น,ซึ่งเป็นโครวบอบแบลงเทียบทั้งหมดเช่น
Dow Chemical,ดาว Chemical
Henkel BASF,Hank Hill BASF
ซึ่งตัว chemical,ซึ่งตัว Chemical Naps
เนี่ยแบ่งหลักๆ เป็น 2 part,แบบแบ่งหลัก ๆ เป็น 2 คาร์ตครับ
ครับ เป็น part,อินพาต
International แล้วก็,ตัวในสาวแล้วก็
Domesic,ก็มาเมื่อสิ
ฝั่งของ inter,ของอินเตอร์เนี่ย
เนี่ยจะเป็นพวก Freight Forwarder,มันจะเป็นพวก Fade for Wonder
ต่างๆ เช่น ขนส่งสินค้าทางอากาศ,เช่น ส่งสิทธิ์ข้าวทางอากาศ
แล้วก็ทางทะเล,แล้วก็ทางภาเล
ส่วนฝั่งของ,ฝากของ
Domestic,ก็มีอย่างสิ่งออกมา
เราให้บริการส่วนของคลังสินค้าที่เป็น,ที่เป็นรายการส่วนของทางสินค้า
Dedicated,เป็นสิ่งที่
เป็นสินค้าเฉพาะทางสําหรับเคมีภัณฑ์และสินค้าอันตราย,เฉพาะถ้าจับธีมิพันธ์และก็จะอันตราย
แล้วก็ยังให้บริการส่วนของขนส่งสินค้าทางทางบกนะครับ,และยังให้บริการส่วนของคนส่งสินค้าทั้ง ๆ บก
ส่วนของ DG Packaging,ของ DG Packaging ให้
ให้เป็นบริการ,เป็นบริการ
pick and pack บรรจุภัณฑ์,พิก แอนด์ แพทย์ มันจุดมัน
หรือฝ่ายผลิตภัณฑ์บรรจุสําหรับสินค้าอันตรายและผลิตภัณฑ์ในการขึ้นเครื่องบิน,หรือขายผลิตภัณฑ์บรรจุ สำหรับสินค้าอัตรายและที่พันธ์ในการขึ้นเครื่องบิน
และสุดท้ายคือตัว,แล้วสุดท้ายคือตัว
ISO tank ที่จะเป็นขนส่ง,ที่เราเป็นผลส่ง
Liquid transport ครับ,ควิดพิษพาชพอร์ตครับ
ส่วนที่ 3,ตัวนี้สาม
เป็นกลุ่มของ,ร่วมของโลจิน
logistics management,Business Management
ซึ่งเป็น business model,เป็นวิเศษบรรยาตรกัน
จะคล้าย ๆ,คล้าย ๆ คล้าย
กลุ่มของ,ครับ
chemical,พี่มีข้อ
ที่แตกต่างกันเพียงแค่ตัวสินค้า,ที่แตกต่างกันเทียงแค่ตัวสินค้า
ที่เป็นตัว,เป็นตัวที่
general goods,เป็นรองกู
หรือเป็นสินค้าทั่ว ๆ ไป,ในสิทธิ์ค้าที่ทั่วไป
ซึ่งแบ่งเป็น short part เช่นกัน,ซึ่งแบบมันสอบพลาดเช่นกัน
part,แบก
แรกจะเป็นส่วนของ international,เป็นส่วนของ International Fed
freight,ยังเชื่อ ๆ
ก็คือเป็นขนส่งทางอากาศแล้วก็ทางทะเล,เป็นผลส่วนอากาศและทางคาเล
ส่วนที่ 2 เนี่ยจะเป็นส่วนของ,ส่วนที่ 2 เนี่ยจะเป็นส่วนของ
domestic,สวัสดี
มีทั้ง warehouse,มีทั้งแวะเฮา
ทํา distribution,ดิสิวชั่น
นะครับ ทํา fulfillment,ครับ ทำ fulfillment
แล้วก็ทําตัว drop point service,แล้วก็ทำตัวดอปคอยซ์เซอร์วิส
drop point,พอให้ช่วยดิน
service,นะครับ
เนี่ยเราจะทําผ่านตัว,เราจะทำผ่านตัวสบาย
sabuy speed,ไอ้สัตว์ปี
นะครับ ตัวที่เราไป,ครับ ตัวที่เราไป
เป็นตัวที่เราถือขึ้นอยู่ใน,เป็นตัวที่เราถือขึ้นอยู่ใน
sabuy speed,Sprite Speed
ซึ่งให้บริการเป็นจุด,ให้บริการทำเป็นจุด
drop point,อ๋อ ค่อย ๆ
pick up point,อัพหอย
ซึ่งให้บริการแก่พวก,ก็จะให้บริการแก่
service provider ต่าง ๆ เช่น,โปรแบดเดอร์ต่างๆ เช่น
orange ที่เป็น fighting brand,ที่เป็น Fighting Band ของ
ของเคอรี่,ของ Curry
รวมทั้ง,ครับ
current express,เวอร์เลนส์ เอสเพรส
รวมทั้งเป็นของ,ทำเป็นของ
lazada express,สาธารณ์อิกสเตอร์
แล้วก็เป็นของนินจาต่างๆนะครับ,ก็เป็นของนินจาต่างๆนะครับ
ส่วน super express service,ส่วน Super Express Service เนี่ย
เป็นตัวของ make sense นะครับ,เป็นตัวของ Make Sense นะครับ
ที่ให้บริการขนส่งสินค้าแบบเร่งด่วนมากๆ,ที่ให้บริการของผมส่งสินค้าเร่งดูดมากๆ
ภายใน same day,การ ACMD
ซึ่งให้บริการทั้งกรุงเทพฯ,ให้บริการทั้งกรุงเทพฯ
และก็ปริมณฑล,ก็อันนี้มนตร์คน
ส่วนที่ 4 เป็นส่วนสุดท้าย เป็น,ส่วนที่สิ่งที่เป็นส่วนอยู่ท้ายเป็นตัว
service ที่เกี่ยวกับ,สมบินที่เกี่ยวกับ
sea and inland transport,และ อินแรงคาสปอด
ซึ่งแบ่งเป็น 4 service,เป็นสิ่งสวิตเวียดเวลา
ด้วยกันนะครับ,นะครับ
ส่วนที่ 7,วิจัยแรก
แรกคือตัวแทนสายเรือนะครับ,อันแรกเป็นตัวแทนสายเรือ
ที่เราเป็นตัวแทนให้กับ,ที่เราเป็นแถวแทน
secureline ซึ่งมีรูทสําคัญก็คือ,สิ่งที่มีรู้สำคัญก็คือ
ทั้งไทย,ค่ะ
ไปญี่ปุ่น แล้วก็เกาหลี,ในสถานีสุดท้าย
ส่วนที่ 2,เป็น
เป็น Wholesale Freight Forwarder,We hold self-rate for order
ที่เราทําผ่านทาง,ที่เราทำผ่านทาง Joy-Con
joint venture คือตัว,ก็คือตัว
ECU worldwide นะครับ,คู่เอาไว้นะครับ
ที่ให้บริการขนส่งสินค้าแบบ,ที่ให้บริการของโซ่สิริคาร์แบบเลสเดน
Less than Container Load,การควรเทียนเนื้อโหลด
ซึ่งโดยปกติแล้วการขนส่งสินค้าทางเรือเนี่ย,ซึ่งโดยปกติแล้วการส่งช้าทางเลือน
เป็นขนส่งสินค้าแบบเต็มตู้,เป็นคนส่งสิทธิ์ขาดแบบเต็มตู้
หมายความว่าลูกค้าจะขนส่งต้องเหมาทั้งตู้นะครับ,ว่าลูกค้าจะส่งต้องมาทั้งตู้ครับ
ตัวของECU worldwide เป็น Less than,ของเอกัวว่า เนี่ย เป็นเรียสแดนคุณท่าน
Container Load หมายความว่า,Cleaner Load หมายความว่า
ลูกค้าบางรายมีสินค้าที่ไม่ต้องจําเป็นต้องซื้อทั้งตู้,ผู้ค้าบางลายมีสินค้าที่ไม่ต้องเป็นทั้งสถานทางตู้
ทาง ECU ก็เลยจับลูกค้าแต่ละรายนํามา,พี่ปู่ก็เลยจับลูกค้าเทอร์ไลน์นำมา
console เป็นตู้เดียวกัน,ควรโชว์เป็นตู้เดียวกัน
แล้วก็จัดส่งไปที่ปลายทางที่เหมือนๆกัน,แล้วก็จะส่งไปที่ปลายทางที่เหมือนๆกัน
ส่วนอันที่ 3 คือ,อันที่ 3 คือ
inland container,แดนคอนเดินอีกทักที
trucking service,กินสวิต
เป็นรถหัวลากให้บริการรถหัวลากให้กับลูกค้าภายในประเทศ,ให้บริการลดหัวลากให้กับลูกค้าภายในประเทศ
ซึ่งเราจะลากอาจจะจากท่าเรือไปคลังสินค้า,ซึ่งเราจะลากอาจจะจากท่าเรือไปทางสินค้า
หรือจากสินค้าไปท่าเรือครับ,จากสินค้าไปท่าเหลือครับ
ส่วนอันสุดท้ายนะครับ เป็นตัว,ศูนย์อันจุดท้ายนะคะ เป็นตัว
domestic คือการขนส่งสินค้าทางราง,Domestic คือการขนส่งสินค้าทางล่าง
ทั้งภายในประเทศ และก็ต่างประเทศ,ทั้งภายในประเทศและต่างประเทศ
ซึ่งเซอร์วิสนี้เป็นเซอร์วิสใหม่ที่เราเพิ่งทํา,ซึ่งโซเวทนี้เป็นสวิตช์ใหม่ที่เราเพิ่งทำ
ส่วนของ international เราให้บริการทางรางตั้งแต่ไทย,ส่วนของ Eternal National เราให้บริการทางลางตั้งแต่ไทย
ไปลาว,ว่า
ผ่านจีน แล้วก็ไปทางยุโรปครับ,ทางอ่านจีนและทางยูโรปครับ
อันนี้คือเป็นเซอร์วิสทั้งหมดของทางทริพเพิลไอนี้ครับ,อันนี้คือเปลี่ยนสมิททั้งหมดของทางที่บ้านอันนี้ครับ
ต่อไปเรียนเชิญคุณวิรัชในการให้ข้อมูลทางด้าน financial ครับ,ต่อไปเรียงเชิญยุมรับในการให้ข้อมูลทางด้าน Financial
ครับ,ส่วน
สวัสดีอีกครั้งนะครับ นักลงทุนนะครับ,ที่กลางนะครับ แล้วลงทุกท่านนะครับ
ก็ขอบคุณคุณณัฐสิทธิ์นะครับ ที่ให้ข้อมูลกับนักลงทุนนะครับ ก็จะเห็นว่าทางกลุ่ม,ก็ขอบคุณคุณนักศักดิ์เซียนนะครับ ที่ให้ข้อมูลกับนักลงทุนนะครับก็จะเห็นว่าทั้ง
บริษัท,ใช่ครับ
ทริพเพิลไอ โลจิสติกส์ จํากัด (มหาชน),สิ่งที่เราจะทำกันมา
เนี่ย เราให้บริการในธุรกิจโลจิสติกส์ โดยเราแยกออกเป็น,เราให้บริการในธุรกิจโลยิสติกโดยยาวแยกกว่าเป็น
4 หมวดนะครับ ก็คือขนส่งทางอากาศ ซึ่งเป็นธุรกิจหลักนะครับ เรารองลงมาก็ธุรกิจที่เกี่ยวกับโลจิสติกส์สําหรับสินค้าเคมีภัณฑ์และสินค้าอันตราย,ก็คือ ผลส่งทาง ซึ่งเป็นธุรกิจหลักเราลองมาก็ธุรกิจที่เกี่ยวกับโลเจนิทิกสำหรับสินค้าเครียมอินทรัพย์สินค้าอันตราย
แล้วเราก็มีโลจิสติกส์ให้กับสินค้าทั่วไป,มันก็มี logistics ให้กับสินค้าทั่วไป
รวมทั้งมีการขนส่งทางทะเลและก็ทางบกนะครับ ซึ่งจากที่เราเข้าตลาดมานะครับ แรกเริ่มเราก็มี,ทั้งมีการประสุนทางทะเลและก็ทางบก จากที่เราเข้าตลาดมาได้เริ่มเราก็มีสิ่งที่
4 กลุ่มธุรกิจนี้ เราเรียกว่าเป็นออแกนิคเดิมของเรา,ของธุรกิจนี้ถ้าเราเรียกว่าเป็น Organic เดิมของเรา
หลังจากเข้าตลาดตามที่คุณณัฐสิทธิ์ได้แจ้งไทม์ไลน์,และเข้าตลาดตามที่คุณนัทศิษย์ได้แจ้งทำอะไร
เรามีการขยายกิจการหลาย ๆ รูปแบบแล้วส่วนใหญ่จะเป็นการร่วม,มีการขยายกิจการในหลายรูปแบบและส่วนใหญ่จะเป็นการร่วม
ลงทุนหรือเข้าไปเอ็มแอนด์เอหรือเข้าไปควบรวมซื้อกิจการอะไรต่างต่างนะครับเราก็เลยมองภาพที่เราเจอกับตัวว่าเป็นอินออร์แกนิกนะครับงั้นตัวเลขที่เราชี้แจงให้กับทางลงทุนนะครับในทุกทุกครั้งและทุกไตรมาสเราก็แยกให้ไปดูเป็นสองส่วนนะครับว่าเป็นส่วนที่เราเรียกภายในว่าเป็นส่วนเรียกว่าออร์แกนิก,หรือเข้าไป M&A หรือเข้าไปควบรวมซื้อ รุ่นจัดการอะไรอีกต่างเราก็เลยมองพาทที่เราเตือนจบโตว่าเป็น Inorganicตัวเลขที่เราชี้แจงให้กับทางร่วมทุนทุกๆครั้งและทุกตัวไอ้มาตร เราก็แยกให้ไปดูเป็น 2 ส่วนเป็นส่วนที่เราเรียกภายในว่าเป็นส่วน Organic
business ของเรา,ที่สิ่งแหละของเรา
และก็ยังเป็น 4,ใจมันสี่คุณผู้ชาย
กลุ่มธุรกิจนะครับ,บริโรคกิจนะครับ
ในภาพรวมของตัวเลขที่เป็น,ในภาพรวมของตัวเลขที่เป็น
organic,กันดิ
ของเราเนี่ยครับ ก็,ถึงเมื่อกี้ครับ
9 เดือนของกลุ่มทั่วไปนะครับ,ของกรุงเทพไวท์นะครับ
มีรายได้อยู่ทั้งสิ้น,ทั้งสิ้น
"1,276 ล้านบาท",276 ล้านบาท
ในตัวรายได้ก็จะลดลง,แต่ตัวไร้ได้ก็จะลดลง
ถ้าเทียบกับ,ถ้าเทียบกับ 9 เดือนแล้ว
9เดือนแรกของปีก่อนหน้า,ของปีก่อนหน้านะครับ
ลดลง 12%,ต้นลง 12%
ก็สาเหตุถ้านักลงทุนได้ติดตาม,ก็สาเหตุถ้านักลงกุฎเด็ดได้ติดตาม
